"Date","Season","Team","Spread","Team2"
1128,2008,"portland state",2,"portland"
1129,2008,"wake forest",-5,"nc charlotte"
1129,2008,"drexel",6.5,"george mason"
1129,2008,"tulane",-6.5,"buffalo"
1129,2008,"ohio",5.5,"temple"
1129,2008,"south alabama",12,"vanderbilt"
1129,2008,"oregon",-3,"kansas state"
1129,2008,"colorado",6.5,"air force"
1129,2008,"oklahoma",6,"usc"
1129,2008,"wichita state",5,"appalachian st"
1129,2008,"tenn-martin",7,"arkansas state"
1129,2008,"santa clara",-8,"eastern washington"
1130,2008,"la.-lafayette",27,"tennessee"
1130,2008,"wi milwaukee",20,"marquette"
1130,2008,"washington state",-2,"baylor"
1130,2008,"iowa state",3,"oregon state"
1130,2008,"duquesne",-6.5,"cs northridge"
1130,2008,"nccentral",24.5,"drake"
1130,2008,"eastern illinois",-1,"rice"
1130,2008,"la-monroe",8,"iowa"
1130,2008,"delaware",1.5,"iona"
1130,2008,"cs fullerton",7,"montana"
1130,2008,"texas-pan american",7,"pepperdine"
1130,2008,"alcorn state",23.5,"montana state"
1201,2008,"penn state",10,"st. joseph's"
1201,2008,"james madison",6,"northeastern"
1201,2008,"cal riverside",21,"minnesota"
1201,2008,"georgia tech",6,"vanderbilt"
1201,2008,"north carolina",-6,"kentucky"
1201,2008,"california-irvine",11,"utah"
1201,2008,"long beach state",15,"saint louis"
1201,2008,"miami (oh)",12.5,"louisville"
1201,2008,"new mexico",7.5,"mississippi"
1201,2008,"princeton",10,"rutgers"
1201,2008,"indiana state",15.5,"purdue"
1201,2008,"gonzaga",4.5,"connecticut"
1201,2008,"central mich.igan",6.5,"detroit"
1201,2008,"south carolina",9,"clemson"
1201,2008,"nc wilmington",4.5,"hofstra"
1201,2008,"creighton",-2,"drexel"
1201,2008,"washington",3,"oklahoma state"
1201,2008,"michigan",-8.5,"harvard"
1201,2008,"providence",1.5,"boston college"
1201,2008,"seton hall",9,"saint marys ca"
1201,2008,"pennsylvania",21.5,"villanova"
1201,2008,"central florida",4,"south florida"
1201,2008,"old dominion",-9,"georgia state"
1201,2008,"tulane",11.5,"syracuse"
1201,2008,"wyoming",9,"akron"
1201,2008,"evansville",3,"buffalo"
1201,2008,"toledo",22,"pittsburgh"
1201,2008,"eastern michigan",20,"notre dame"
